,title,year,doi,abstract
0,HAID: Human-AI Interaction for Dementia Care,2024,10.1145/3677045.3685469,
1,Theory of Mind in Human-AI Interaction,2024,10.1145/3613905.3636308,"Theory of Mind (ToM), humans’ capability of attributing mental states such as intentions, goals, emotions, and beliefs to ourselves and others, has become a concept of great interest in human-AI interaction research. Given the fundamental role of ToM in human social interactions, many researchers have been working on methods and techniques to equip AI with an equivalent of human ToM capability to build highly socially intelligent AI. Another line of research on ToM in human-AI interaction seeks to understand people’s tendency to attribute mental states such as blame, emotions, and intentions to AI, along with the role that AI should play in the interaction (e.g. as a tool, partner, teacher, facilitator, and more) to align with peoples’ expectations and mental models. The goal of this line of work is to distill human-centered design implications to support the development of increasingly advanced AI systems. Together, these two research perspectives on ToM form an emerging paradigm of “Mutual Theory of Mind (MToM)” in human-AI interaction, where both the human and the AI each possess the ToM capability. This workshop aims to bring together different research perspectives on ToM in human-AI interaction by engaging with researchers from various disciplines including AI, HCI, Cognitive Science, Psychology, Robotics, and more to synthesize existing research perspectives, techniques, and knowledge on ToM in human-AI interaction, as well as envisioning and setting a research agenda for MToM in human-AI interaction."
2,Assessing Human-AI Interaction Early through Factorial Surveys: A Study on the Guidelines for Human-AI Interaction,2022,10.1145/3511605,"This work contributes a research protocol for evaluating human-AI interaction in the context of specific AI products. The research protocol enables UX and HCI researchers to assess different human-AI interaction solutions and validate design decisions before investing in engineering. We present a detailed account of the research protocol and demonstrate its use by employing it to study an existing set of human-AI interaction guidelines. We used factorial surveys with a 2 × 2 mixed design to compare user perceptions when a guideline is applied versus violated, under conditions of optimal versus sub-optimal AI performance. The results provided both qualitative and quantitative insights into the UX impact of each guideline. These insights can support creators of user-facing AI systems in their nuanced prioritization and application of the guidelines."
3,Spiritual AI: Exploring the Possibilities of a Human-AI Interaction Beyond Productive Goals,2024,10.1145/3613905.3650743,"The Human-Computer Interaction community has long endeavored to discuss technologies that go beyond productivity goals. We extend this perspective to the realm of Human-AI interaction to explore how AI could consider diverse user values, particularly in users’ prayer experiences where minimal productivity goals exist. Through diary study, our research identified user goals and behaviors that contribute to satisfying prayer experiences. Then, we conceptualized four distinct AI systems designed to celebrate the identified goals and behaviors of the users. We presented these conceptualized systems in the format of a design workbook and engaged users in evaluating them. Based on our findings, we discuss the potential of novel roles that AI could play in human lives, such as provoking deep reflections or creating indirect communities."
4,Development and translation of human-AI interaction models into working prototypes for clinical decision-making,2024,10.1145/3643834.3660697,"In the standard interaction model of clinical decision support systems, the system makes a recommendation, and the clinician decides whether to act on it. However, this model can compromise the patient-centeredness of care and the level of clinician involvement. There is scope to develop alternative interaction models, but we need methods for exploring and comparing these to assess how they may impact clinical decision-making. Through collaborating with clinical, AI safety, and HCI experts, and patient representatives, we co-designed a number of alternative human-AI interaction models for clinical decision-making. We then translated these models into ‘Wizard of Oz’ prototypes, where we created clinical scenarios and designed user interfaces with different types of AI output. In this paper, we present alternative models of human-AI interaction and illustrate how we used a co-design approach to translate them into functional prototypes that can be tested with users to explore potential impacts on clinical decision-making."
5,Exploration of Explainable AI for Trust Development on Human-AI Interaction,2023,10.1145/3639592.3639625,"In recent years, the revolutionary impact of Artificial Intelligence (AI) cannot be overstated. This groundbreaking technology has radically transformed how we perform our daily tasks, thereby redefining the very fabric of our society. However, as our reliance on AI systems continues to grow, the need for calibrated trust becomes increasingly pressing. To address this concern, the concept of Explainable AI (XAI) has been introduced to provide human-level explanations. The primary goal is to offer cognitive information that prompts informed trust decisions. Nevertheless, it is essential to recognize that trust is a multidimensional construct, involving various means of processing beyond mere explanations. To fully understand and explore these dimensions within the context of XAI, this research aims to uncover and comprehend the additional facets of trust. Through an exploratory survey, it was confirmed that XAI serves a vital purpose in facilitating trust, and it can be effectively processed through affective means. Furthermore, the presentation of information beyond the depth of explanation was found to play a significant role in moderating trust formation during human-AI interactions."
6,Re-examining User Burden in Human-AI Interaction: Focusing on a Domain-Specific Approach,2024,10.1145/3613905.3638186,"In my thesis, I revisit, specialize, and expand the concept of ‘user burden’ in three different contexts. In the first study, I explore what user burdens occur when deleting unused apps. To do so, I have conducted in-depth interviews, designed questionnaires, and performed scenario-based experiments. In my second study, I designed and developed a conversational agent that documents and reports cases of sexual assault survivors to the police on behalf of the survivors. To discover survivors’ burdens and find solutions to mitigate them, I conducted in-depth interviews and participatory design sessions with sexual assault survivors, as well as diverse stakeholders (e.g., police officers, counselors). In my third study, I investigated why employees resist algorithmic evaluations in workplaces and how to mitigate these burdens. The goal of participating in this doctoral consortium is to share the three lines of research for my thesis with researchers and professors and gain diverse ideas and feedback from the HCI community to better synthesize my works."
7,Past Meets Future: Human-AI Interaction for Digital History and Cultural Heritage,2024,10.1145/3640544.3645257,"Digital History and Cultural Heritage encapsulate invaluable societal narratives, yet scholars and practitioners face challenges in data quality, accessibility, and engagement. Human-AI Interaction (HAI) holds promise to address these challenges, fostering enhanced analysis, discoverability, and storytelling at scale. However, its potential remains largely untapped by the HAI community. This workshop aimed to bridge this gap, inviting inviting scholars and practitioners from fields such as human-computer interaction (HCI), artificial intelligence (AI), history, cultural heritage, and GLAMs (galleries, libraries, archives, and museums) to explore innovative HAI methodologies and frameworks tailored to these domains. Through interdisciplinary dialogue, we aimed to propose tractable solutions, enriching both the Digital History and Cultural Heritage sectors, as well as the HAI field, while nurturing a fertile ground for historical storytelling and meaningful engagement with our shared past."
8,"A Systematic Review on Fostering Appropriate Trust in Human-AI Interaction: Trends, Opportunities and Challenges",2024,10.1145/3696449,"Appropriate Trust in Artificial Intelligence (AI) systems has rapidly become an important area of focus for both researchers and practitioners. Various approaches have been used to achieve it, such as confidence scores, explanations, trustworthiness cues, or uncertainty communication. However, a comprehensive understanding of the field is lacking due to the diversity of perspectives arising from various backgrounds that influence it and the lack of a single definition for appropriate trust. To investigate this topic, this paper presents a systematic review to identify current practices in building appropriate trust, different ways to measure it, types of tasks used, and potential challenges associated with it. We also propose a Belief, Intentions, and Actions (BIA) mapping to study commonalities and differences in the concepts related to appropriate trust by (a) describing the existing disagreements on defining appropriate trust, and (b) providing an overview of the concepts and definitions related to appropriate trust in AI from the existing literature. Finally, the challenges identified in studying appropriate trust are discussed, and observations are summarized as current trends, potential gaps, and research opportunities for future work. Overall, the paper provides insights into the complex concept of appropriate trust in human-AI interaction and presents research opportunities to advance our understanding on this topic."
9,"Human-AI interaction: intermittent, continuous, and proactive",2021,10.1145/3486941,"user interaction with AI systems does not necessarily follow this rigid interaction pattern. Inspired by Kristina Höök and Yang et al. [1,2], we define human-AI interaction as the completion of a user’s task with the help of AI support, which may manifest itself in non-intermittent scenarios. By overlooking these other interaction paradigms, we neglect the opportunity to define and support alternative human-AI scenarios. In this article, we present and outline three types of human-AI interaction paradigms, which we refer to as intermittent, continuous, and proactive, highlighting a diverse set With the rise in artificial intelligence (AI)–driven interactive systems, both academics and practitioners within human-computer interaction (HCI) have a growing focus on human-AI interaction. This has resulted in, for example, system-design guidelines and reflections on the differences and challenges when designing for AI-driven interaction as opposed to moretraditional applications [1]. We argue that the current work on human-AI interaction is defined primarily by a focus on what we refer to as intermittent interaction scenarios, in which there is a clear line between the human initiator of an interaction and an almost W Insights → We have identified three types of human-AI interaction paradigms, which we refer to as intermittent, continuous, and proactive. → HCI researchers and practitioners need to systematically explore novel techniques to support end users in non-intermittent AI interaction scenarios. Human-AI Interaction: Intermittent, Continuous, and Proactive Niels van Berkel, Mikael B. Skov, and Jesper Kjeldskov, Aalborg University"
