statement,cluster,tsne_1,tsne_2,cluster_size,cluster_keywords,cluster_coherence
Recruitment chatbots enhance user experience by integrating human-centered design principles.,4,-0.7896962,23.98845,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
AdaTest++ enhances human-AI collaboration by leveraging human strengths in schematization and hypothesis testing.,0,-8.022936,3.8944783,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
AI explanations are most effective when they reveal reasons to doubt incorrect AI classifications or trust correct ones.,1,16.489092,-13.343497,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
Optometrists' risk-averse tendencies significantly influence their interpretation of AI clinical decision support system outputs.,3,40.65932,-17.143383,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
DuetDraw enhances user satisfaction by providing detailed instructions during collaborative drawing tasks.,5,-17.062435,-3.9938796,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
"User demographics, including age and familiarity with probability, influence human-AI collaborative decision-making.",2,20.528727,6.852991,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
Interactive visualization systems enable novice AI designers to understand model threshold trade-offs and fairness.,1,-23.832928,-5.690261,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
Generative AI enhances music composition by balancing authorial control with unpredictability.,7,-40.093483,12.493901,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
AI applications for automated disease diagnosis are perceived by community health workers to potentially improve healthcare delivery in rural areas by enhancing diagnostic accuracy.,0,-1.6611245,-29.154413,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Trust calibration alone is insufficient for improving AI-assisted decision making outcomes.,3,23.272532,-3.1267269,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
"The AI system, GAM Changer, is easy to use and integrates well into existing workflows of data scientists across various domains.",0,-13.432935,-36.00432,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
False positives in AI grading harm learning by reducing students' engagement with feedback.,3,30.855501,32.334145,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
AI models detect hyperactivity in children with 85.2% accuracy using parent-provided activity labels.,0,-5.746098,-16.24239,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Saliency maps produced by the LRP algorithm help users identify specific image features that CNNs are sensitive to.,6,2.5280523,13.494354,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
Generative text-to-image models help overcome design fixation by enabling novel robot concept ideation.,7,-32.102684,3.4662032,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
AI explainability enhances understanding by focusing on human-centered perspectives rather than algorithm-centered views.,1,8.796234,-9.161412,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
Trust in AI is influenced by the openness level of the human annotator.,3,26.828215,-10.42348,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Participants perceive AI systems as more capable but less morally trustworthy than humans.,3,33.1555,6.945499,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Embodied anthropomorphism in AI personal assistants enhances perceived intelligence and likeability.,2,13.07122,21.211172,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
AI agents that adjust their autonomy based on the situation enhance team performance in shared workspaces.,2,15.517046,26.351505,119,"ai, human, systems, perceived, participants, agents, user, ai systems, interaction, ai agents",-0.753548300363739
"AI-generated content acts as both an audience and critic, influencing musicians' creative processes.",7,-41.646515,14.025805,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
Optimization using AI preferential choices lacks mechanisms to handle inconsistent human judgments.,3,23.116268,1.7574246,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
The Value Cards toolkit enables students to recognize the importance of considering diverse social values in algorithmic system development.,5,-21.505375,-23.022713,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
"The mobile silent speech interface supports on-device fine-tuning and visual keyword spotting, ensuring customizable interactions.",5,-29.743652,23.776274,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI-based credibility indicators have limited impact on news engagement when social influence is present.,3,18.288925,-20.194622,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Users tend to explore new topics rather than revisit previously explored concepts when using Generative AI.,7,-41.102394,8.40546,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
IR-GAN improves consistency between visual and semantic increments in image generation.,6,-48.57809,-7.4686313,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
The ESCAPE system enables users to identify and address AI blindspots by facilitating the recognition of spurious associations.,0,20.491222,-32.63141,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Virtual reality enhances the teleoperation of semi-autonomous robotic boats by integrating live sensor data for monitoring and control.,5,-40.203518,26.429808,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
"Large Language Models improve reasoning capabilities in AI chatbots, aiding leadership growth.",0,-30.638884,-18.293604,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"The AI system recognizes hand gestures as main characters, dynamically adapting story plots based on character changes.",7,-33.220245,19.944027,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
PromptCharm enhances image quality by refining and optimizing initial text prompts.,5,-43.40443,-7.1880383,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI co-learning frameworks effectively improve worker skills without requiring pre-trained models.,0,1.864396,3.3020895,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
"Participants appreciated the diverting denial style, indicating its effectiveness in managing user expectations.",4,25.523443,38.67279,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Participants frequently incorporate language from AI-generated text into their own explanations.,7,12.520326,-1.6821563,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
Agents with higher value similarity to users increase trust levels in AI systems.,1,21.035593,-15.499639,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
Human writers experience joyful and inspirational interactions when engaging with AI-generated content.,7,-6.8471527,35.727444,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
AI-framed Questioning significantly enhances human ability to discern logically flawed statements.,0,15.602947,-14.474965,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
AI products' inclusivity is influenced by whether they learn from individual or collective data.,3,36.319157,-4.5792437,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
"The AI system's reliance on casenotes introduces biases, affecting the accuracy of NLP-based systems.",3,51.08548,-9.969087,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Chatbot support helps maintain reduced smartphone use.,4,-4.195456,21.685177,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
"Challenges such as usability, AI transparency, and data availability hinder culturally sensitive AI system design.",3,41.752193,0.2601953,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
The proposed taxonomy of social errors in Human-Robot Interaction encourages the development of user-centered systems that enhance interaction experiences.,4,6.5650287,24.28319,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
AnalogiLead users dismissed analogies 4x less often than baseline users.,4,1.0297028,-12.305486,133,"users, user, perceived, conversational, ai, participants, engagement, task, systems, social",-0.8438458491458725
Systematic use of in-situ video snippets enhances the two-way flow of cognitive information in medical training.,5,-19.169292,-1.4121621,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
AI assistance improves labeler accuracy and speed by focusing on the most probable labels.,0,-5.583135,-41.5049,190,"ai, enhance, systems, user, improve, accuracy, users, learning, design, ai systems",-0.7774319254490174
Creative AI tools reveal underlying assumptions and stereotypes about robots in design processes.,7,-24.648647,1.2545798,109,"ai, generative, generative ai, enhance, creative, models, tools, design, enhances, creativity",-0.7454560666892962
Interpretability tools impair understanding by reducing task accuracy by 17% and task time by a factor of 5.,6,22.326115,-6.2315326,117,"models, accuracy, learning, performance, model, improves, data, machine, improve, users",-0.8384698864743367
"False negatives in AI grading harm learning primarily for students with lower engagement, highlighting the protective role of active participation.",3,30.91351,32.580868,177,"ai, systems, trust, user, ai systems, influence, participants, decision, users, human",-0.7693697108088192
Real-time neuroimaging enables dynamic audience participation by visualizing the performer's mental state.,5,-40.26617,22.142021,126,"users, enhances, user, enables, learning, data, tasks, enhance, design, efficiency",-0.8613863347359014
Explainable AI facilitates trust by providing human-level explanations and can be processed affectively.,1,13.702851,-8.086872,106,"ai, explanations, trust, ai explanations, user, enhance, transparency, users, model, models",-0.7234700343267677
